Order Date,Sales,Isolation_Anomaly,Z_Anomaly
2015-01-04,304.508,Anomaly,Normal
2015-01-11,4619.108,Normal,Normal
2015-01-18,4130.533,Normal,Normal
2015-01-25,3092.5440000000003,Normal,Normal
2015-02-01,2527.9139999999998,Normal,Normal
2015-02-08,968.534,Anomaly,Normal
2015-02-15,2771.054,Normal,Normal
2015-02-22,224.912,Anomaly,Normal
2015-03-01,2289.643,Normal,Normal
2015-03-08,4030.728,Normal,Normal
2015-03-15,4139.602,Normal,Normal
2015-03-22,37703.665,Anomaly,Normal
2015-03-29,3998.777,Normal,Normal
2015-04-05,10363.902,Normal,Normal
2015-04-12,8418.293,Normal,Normal
2015-04-19,2198.37,Normal,Normal
2015-04-26,5660.104,Normal,Normal
2015-05-03,4974.812,Normal,Normal
2015-05-10,6332.464,Normal,Normal
2015-05-17,3967.87,Normal,Normal
2015-05-24,6241.984,Normal,Normal
2015-05-31,6523.233,Normal,Normal
2015-06-07,8569.948,Normal,Normal
2015-06-14,8683.282000000001,Normal,Normal
2015-06-21,11139.4446,Normal,Normal
2015-06-28,5143.956999999999,Normal,Normal
2015-07-05,3158.4,Normal,Normal
2015-07-12,6290.629,Normal,Normal
2015-07-19,1387.686,Anomaly,Normal
2015-07-26,21590.079999999998,Normal,Normal
2015-08-02,3255.66,Normal,Normal
2015-08-09,13454.076000000001,Normal,Normal
2015-08-16,3187.942,Normal,Normal
2015-08-23,4366.4980000000005,Normal,Normal
2015-08-30,4901.8925,Normal,Normal
2015-09-06,4234.85,Normal,Normal
2015-09-13,29959.137,Anomaly,Normal
2015-09-20,20685.832000000002,Normal,Normal
2015-09-27,17249.3338,Normal,Normal
2015-10-04,11781.179,Normal,Normal
2015-10-11,4751.272,Normal,Normal
2015-10-18,10468.226,Normal,Normal
2015-10-25,3882.9900000000002,Normal,Normal
2015-11-01,14794.436,Normal,Normal
2015-11-08,14934.875,Normal,Normal
2015-11-15,15130.8292,Normal,Normal
2015-11-22,26793.6235,Normal,Normal
2015-11-29,16191.363,Normal,Normal
2015-12-06,13185.832,Normal,Normal
2015-12-13,8971.0645,Normal,Normal
2015-12-20,23416.453,Normal,Normal
2015-12-27,10632.52,Normal,Normal
2016-01-03,15880.6606,Normal,Normal
2016-01-10,1973.444,Normal,Normal
2016-01-17,1720.158,Normal,Normal
2016-01-24,358.522,Anomaly,Normal
2016-01-31,10314.516,Normal,Normal
2016-02-07,3249.49,Normal,Normal
2016-02-14,2071.846,Normal,Normal
2016-02-21,4776.534,Normal,Normal
2016-02-28,1853.5410000000002,Normal,Normal
2016-03-06,6066.2554,Normal,Normal
2016-03-13,5375.648,Normal,Normal
2016-03-20,13310.136,Normal,Normal
2016-03-27,5012.915,Normal,Normal
2016-04-03,2873.5840000000003,Normal,Normal
2016-04-10,6433.63,Normal,Normal
2016-04-17,11463.31,Normal,Normal
2016-04-24,4603.642,Normal,Normal
2016-05-01,11805.6065,Normal,Normal
2016-05-08,7774.9439999999995,Normal,Normal
2016-05-15,4905.0615,Normal,Normal
2016-05-22,4418.17,Normal,Normal
2016-05-29,6551.177,Normal,Normal
2016-06-05,9418.944,Normal,Normal
2016-06-12,4550.428,Normal,Normal
2016-06-19,7687.451000000001,Normal,Normal
2016-06-26,6242.707,Normal,Normal
2016-07-03,4014.966,Normal,Normal
2016-07-10,4291.266,Normal,Normal
2016-07-17,10366.159,Normal,Normal
2016-07-24,3955.135,Normal,Normal
2016-07-31,7539.815,Normal,Normal
2016-08-07,3837.8992,Normal,Normal
2016-08-14,7272.986,Normal,Normal
2016-08-21,7085.682,Normal,Normal
2016-08-28,15773.478,Normal,Normal
2016-09-04,8162.043,Normal,Normal
2016-09-11,8243.94,Normal,Normal
2016-09-18,24095.96,Normal,Normal
2016-09-25,18316.364999999998,Normal,Normal
2016-10-02,9591.275,Normal,Normal
