ds,yhat,yhat_lower,yhat_upper
2019-01-31,42990.53220212094,33344.44662078791,52099.51824004668
2019-02-28,31248.15992200324,22864.88185452473,40707.454105749515
2019-03-31,81267.00777220097,72437.92709302377,90648.62123338973
2019-04-30,50658.420140943526,42088.60221142423,60261.058220690844
2019-05-31,52555.922387083134,42983.57107002582,61836.21495498794
2019-06-30,60032.02039860888,50060.05719309265,69364.20516641097
2019-07-31,56249.85331643561,46526.61315606392,65070.52191070477
2019-08-31,55607.48854203839,45998.54476377592,65457.3563772777
2019-09-30,101737.65323240127,92762.95180251855,110465.90046924187
2019-10-31,69352.20948910067,60378.006959428414,78589.71157581836
2019-11-30,112411.17477061696,103017.91553888866,122042.66908015241
2019-12-31,95255.12468880047,86022.64947032966,105012.05672756594
